"ID_UNIVERSIDAD","ID_TITULACION","NOMBRE_TITULACION","NOMBRE_TIPO_TITULACION"
"023","2500265","Graduado o Graduada en Ciencias de la Alimentación","Grado"
"023","2500266","Graduado o Graduada en Física ","Grado"
"023","2500267","Graduado o Graduada en Química ","Grado"
"023","2500268","Graduado o Graduada en Psicología ","Grado"
"023","2500269","Graduado o Graduada en Administración y Dirección ","Grado"
"023","2500270","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"023","2500270","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"023","2500271","Graduado o Graduada en Turismo","Grado"
"023","2500272","Graduado o Graduada en Ingeniería Informática","Grado"
"023","2500273","Graduado o Graduada en Ingeniería Química","Grado"
"004","2500274","Graduado o Graduada en Historia del Arte","Grado"
"004","2500275","Graduado o Graduada en Estudios Ingleses ","Grado"
"004","2500276","Graduado o Graduada en Estudios Literarios","Grado"
"004","2500277","Graduado o Graduada en Filología Catalana","Grado"
"004","2500278","Graduado o Graduada en Bioquímica","Grado"
"004","2500279","Graduado o Graduada en Geología","Grado"
"004","2500280","Graduado o Graduada en Biotecnología","Grado"
"004","2500281","Graduado o Graduada en Biología","Grado"
"004","2500282","Graduado o Graduada en Ciencias Biomédicas","Grado"
"004","2500283","Graduado o Graduada en Física","Grado"
"004","2500284","Graduado o Graduada en Enfermería ","Grado"
"004","2500285","Graduado o Graduada en Medicina","Grado"
"004","2500286","Graduado o Graduada en Psicología ","Grado"
"004","2500287","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"004","2500288","Graduado o Graduada en Farmacia ","Grado"
"004","2500289","Graduado o Graduada en Ciencias Políticas y de la ","Grado"
"004","2500290","Graduado o Graduada en Maestro de Educación Infant","Grado"
"004","2500291","Graduado o Graduada en Maestro de Educación Primar","Grado"
"004","2500292","Graduado o Graduada en Educación Social","Grado"
"004","2500293","Graduado o Graduada en Pedagogía","Grado"
"004","2500294","Graduado o Graduada en Criminología","Grado"
"004","2500295","Graduado o Graduada en Derecho por la Universidad ","Grado"
"004","2500296","Graduado o Graduada en Geografía","Grado"
"004","2500297","Graduado o Graduada en Relaciones Laborales","Grado"
"004","2500298","Graduado o Graduada en Ingeniería de Materiales","Grado"
"004","2500299","Graduado o Graduada en Ingeniería Informática","Grado"
"004","2500300","Graduado o Graduada en Ingeniería Electrónica de T","Grado"
"051","2500301","Graduado o Graduada en Ciencia y Tecnología de los","Grado"
"051","2500302","Graduado o Graduada en Educación Infantil","Grado"
"051","2500302","Graduado o Graduada en Maestro o Maestra de Educac","Grado"
"034","2500303","Graduado o Graduada en Logopedia","Grado"
"034","2500304","Graduado o Graduada en Terapia Ocupacional","Grado"
"034","2500305","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"034","2500306","Graduado o Graduada en Maestro en Educación Infant","Grado"
"034","2500306","Graduado o Graduada en Maestro en Educación Infant","Grado"
"034","2500307","Graduado o Graduada en Educación Social","Grado"
"010","2500308","Graduado o Graduada en Química ","Grado"
"010","2500309","Graduado o Graduada en Enfermería  por la Universi","Grado"
"010","2500309","Graduado o Graduada en Enfermería ","Grado"
"010","2500310","Graduado o Graduada en Logopedia","Grado"
"010","2500310","Graduado o Graduada en Logopedia por la Universida","Grado"
"010","2500311","Graduado o Graduada en Odontología ","Grado"
"010","2500312","Graduado o Graduada en Ingeniería Química ","Grado"
"002","2500313","Graduado o Graduada en Enfermería ","Grado"
"002","2500314","Graduado o Graduada en Medicina","Grado"
"002","2500315","Graduado o Graduada en Podología","Grado"
"002","2500316","Graduado o Graduada en Terapia Ocupacional ","Grado"
"002","2500317","Graduado o Graduada en Veterinaria","Grado"
"002","2500318","Graduado o Graduada en Comunicación Audiovisual ","Grado"
"043","2500319","Graduado o Graduada en Filosofía ","Grado"
"043","2500320","Graduado o Graduada en Historia ","Grado"
"043","2500321","Graduado o Graduada en Historia del Arte","Grado"
"043","2500322","Graduado o Graduada en Lengua y Literatura Español","Grado"
"043","2500323","Graduado o Graduada en Geografía, Ordenación del T","Grado"
"043","2500324","Graduado o Graduada en Enfermería ","Grado"
"043","2500325","Graduado o Graduada en Psicología","Grado"
"043","2500326","Graduado o Graduada en Derecho por la Universidad ","Grado"
"043","2500327","Graduado o Graduada en Educación Social ","Grado"
"043","2500328","Graduado o Graduada en Pedagogía","Grado"
"043","2500329","Graduado o Graduada en Turismo","Grado"
"043","2500330","Graduado o Graduada en Ingeniería de la Edificació","Grado"
"003","2500331","Graduado o Graduada en Estudios Ingleses","Grado"
"003","2500332","Graduado o Graduada en Lengua y Literatura Catalan","Grado"
"003","2500333","Graduado o Graduada en Lengua y Literatura Español","Grado"
"003","2500334","Graduado o Graduada en Física","Grado"
"003","2500335","Graduado o Graduada en Psicología ","Grado"
"003","2500336","Graduado o Graduada en Educación Social por la Uni","Grado"
"003","2500336","Graduado o Graduada en Educación Social","Grado"
"003","2500337","Graduado o Graduada en Comunicación Audiovisual ","Grado"
"003","2500338","Graduado o Graduada en Pedagogía","Grado"
"003","2500338","Graduado o Graduada en Pedagogía por la Universida","Grado"
"040","2500339","Graduado o Graduada en Comunicación Audiovisual ","Grado"
"040","2500340","Graduado o Graduada en Periodismo","Grado"
"040","2500341","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"015","2500342","Graduado o Graduada en Bellas Artes","Grado"
"015","2500343","Graduado o Graduada en Español: Lengua y Literatur","Grado"
"015","2500344","Graduado o Graduada en Estudios Clásicos ","Grado"
"015","2500345","Graduado o Graduada en Estudios Ingleses ","Grado"
"015","2500346","Graduado o Graduada en Filosofía","Grado"
"015","2500347","Graduado o Graduada en Historia ","Grado"
"015","2500348","Graduado o Graduada en Psicología ","Grado"
"015","2500349","Graduado o Graduada en Ingeniería de Edificación ","Grado"
"026","2500350","Graduado o Graduada en Historia ","Grado"
"026","2500351","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"009","2500352","Graduado o Graduada en Biología","Grado"
"009","2500352","Graduado o Graduada en Biología por la Universidad","Grado"
"009","2500353","Graduado o Graduada en Biotecnología","Grado"
"009","2500354","Graduado o Graduada en Ciencias Ambientales","Grado"
"044","2500355","Graduado o Graduada en Estudios Hispánicos: Lengua","Grado"
"044","2500356","Graduado o Graduada en Estudios Ingleses","Grado"
"044","2500357","Graduado o Graduada en Biotecnología","Grado"
"044","2500358","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"044","2500359","Graduado o Graduada en Enfermería ","Grado"
"044","2500360","Graduado o Graduada en Medicina ","Grado"
"044","2500361","Graduado o Graduada en Nutrición Humana y Dietétic","Grado"
"044","2500362","Graduado o Graduada en Administración y Dirección ","Grado"
"044","2500363","Graduado o Graduada en Derecho por la Universidad ","Grado"
"044","2500364","Graduado o Graduada en Educación Primaria","Grado"
"044","2500365","Graduado o Graduada en Educación Social","Grado"
"044","2500366","Graduado o Graduada en Comunicación y Periodismo A","Grado"
"044","2500367","Graduado o Graduada en Ingeniería de la Edificació","Grado"
"012","2500368","Graduado o Graduada en Estudios Franceses","Grado"
"012","2500369","Graduado o Graduada en Estudios Ingleses ","Grado"
"012","2500370","Graduado o Graduada en Filología Clásica","Grado"
"012","2500371","Graduado o Graduada en Filosofía","Grado"
"012","2500372","Graduado o Graduada en Geografía y Ordenación del ","Grado"
"012","2500373","Graduado o Graduada en Historia del Arte","Grado"
"012","2500374","Graduado o Graduada en Lengua y Literatura Español","Grado"
"012","2500375","Graduado o Graduada en Bioquímica ","Grado"
"012","2500376","Graduado o Graduada en Ciencia y Tecnología de los","Grado"
"012","2500377","Graduado o Graduada en Física","Grado"
"012","2500377","Graduado o Graduada en Física por la Universidad d","Grado"
"012","2500378","Graduado o Graduada en Matemáticas ","Grado"
"012","2500379","Graduado o Graduada en Educación Infantil","Grado"
"012","2500379","Graduado o Graduada en Educación Infantil por la U","Grado"
"012","2500380","Graduado o Graduada en Educación Primaria","Grado"
"012","2500380","Graduado o Graduada en Educación Primaria por la U","Grado"
"012","2500381","Graduado o Graduada en Educación Social por la Uni","Grado"
"012","2500382","Graduado o Graduada en Pedagogía","Grado"
"012","2500383","Graduado o Graduada en Ingeniería Química por la U","Grado"
"012","2500383","Graduado o Graduada en Ingeniería Química","Grado"
"028","2500384","Graduado o Graduada en Geografía e Historia","Grado"
"028","2500385","Graduado o Graduada en Historia del Arte","Grado"
"028","2500386","Graduado o Graduada en Lengua y Literatura Español","Grado"
"028","2500387","Graduado o Graduada en Psicología ","Grado"
"028","2500388","Graduado o Graduada en Ciencia Política y de la Ad","Grado"
"028","2500389","Graduado o Graduada en Economía ","Grado"
"028","2500390","Graduado o Graduada en Educación Social ","Grado"
"028","2500391","Graduado o Graduada en Pedagogía","Grado"
"028","2500392","Graduado o Graduada en Ingeniería Eléctrica","Grado"
"028","2500392","Graduado o Graduada en Ingeniería Eléctrica por la","Grado"
"028","2500393","Graduado o Graduada en Ingeniería Electrónica Indu","Grado"
"028","2500393","Graduado o Graduada en Ingeniería Electrónica, Ind","Grado"
"064","2500394","Graduado o Graduada en Ingeniería de Edificación","Grado"
"024","2500395","Graduado o Graduada en Medios Audiovisuales","Grado"
"025","2500396","Graduado o Graduada en Ingeniería de Sonido e Imag","Grado"
"025","2500397","Graduado o Graduada en Ingeniería Informática","Grado"
"039","2500398","Graduado o Graduada en Lenguas Aplicadas","Grado"
"039","2500398","Graduado o Graduada en Lenguas Aplicadas por la Un","Grado"
"039","2500399","Graduado o Graduada en Enfermería ","Grado"
"039","2500400","Graduado o Graduada en Turismo y Gestión del Ocio","Grado"
"039","2500401","Graduado o Graduada en Administración y Dirección ","Grado"
"039","2500401","Graduado o Graduada en Administración y Dirección ","Grado"
"039","2500402","Graduado o Graduada en Ciencias Políticas y de la ","Grado"
"039","2500403","Graduado o Graduada en Derecho ","Grado"
"039","2500403","Graduado o Graduada en Derecho por la Universidad ","Grado"
"039","2500404","Graduado o Graduada en Periodismo por la Universid","Grado"
"039","2500404","Graduado o Graduada en Periodismo","Grado"
"039","2500405","Graduado o Graduada en Relaciones Laborales ","Grado"
"039","2500405","Graduado o Graduada en Relaciones Laborales por la","Grado"
"039","2500406","Graduado o Graduada en Ingeniería de Diseño Indust","Grado"
"035","2500407","Graduado o Graduada en Maestro en Educación Infant","Grado"
"035","2500408","Graduado o Graduada en Maestro en Educación Primar","Grado"
"041","2500409","Graduado o Graduada en Química","Grado"
"041","2500410","Graduado o Graduada en Enfermería ","Grado"
"041","2500411","Graduado o Graduada en Fisioterapia","Grado"
"041","2500412","Graduado o Graduada en Nutrición Humana y Dietétic","Grado"
"041","2500413","Graduado o Graduada en Psicología ","Grado"
"041","2500414","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"041","2500415","Graduado o Graduada en Educación Infantil","Grado"
"041","2500416","Graduado o Graduada en Educación Primaria ","Grado"
"041","2500417","Graduado o Graduada en Gestión Turística y Hoteler","Grado"
"041","2500418","Graduado o Graduada en Trabajo Social","Grado"
"041","2500419","Graduado o Graduada en Educación Social","Grado"
"041","2500420","Graduado o Graduada en Dirección de Empresas Tecno","Grado"
"041","2500421","Graduado o Graduada en Ingeniería de la Edificació","Grado"
"041","2500422","Graduado o Graduada en Ingeniería Informática ","Grado"
"041","2500423","Graduado o Graduada en Ingeniería Química","Grado"
"056","2500424","Graduado o Graduada en Historia ","Grado"
"056","2500425","Graduado o Graduada en Biología","Grado"
"056","2500426","Graduado o Graduada en Educación Infantil  por la ","Grado"
"056","2500426","Graduado o Graduada en Educación Infantil ","Grado"
"056","2500427","Graduado o Graduada en Educación Primaria por la U","Grado"
"056","2500427","Graduado o Graduada en Educación Primaria","Grado"
"056","2500428","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"056","2500428","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"056","2500429","Graduado o Graduada en Ingeniería en Tecnologías d","Grado"
"056","2500430","Graduado o Graduada en Ingeniería de los Materiale","Grado"
"056","2500431","Graduado o Graduada en Ingeniería en Sistemas Audi","Grado"
"056","2500432","Graduado o Graduada en  Ingeniería Química  por la","Grado"
"056","2500432","Graduado o Graduada en Ingeniería Química ","Grado"
"042","2500433","Graduado o Graduada en Inglés ","Grado"
"042","2500434","Graduado o Graduada en Lengua y Literatura Catalan","Grado"
