uri,aiiso_code,foaf_name
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/635-musica,635,MÚSICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/640-nutricion-y-bromatologia,640,NUTRICIÓN Y BROMATOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/645-obstetricia-y-ginecologia,645,OBSTETRICIA Y GINECOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/646-oftalmologia,646,OFTALMOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/647-optica,647,ÓPTICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/650-organizacion-de-empresas,650,ORGANIZACIÓN DE EMPRESAS
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/653-otorrinolaringologia,653,OTORRINOLARINGOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/655-paleontologia,655,PALEONTOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/660-parasitologia,660,PARASITOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/670-pediatria,670,PEDIATRÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/695-prehistoria,695,PREHISTORIA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/700-produccion-animal,700,PRODUCCIÓN ANIMAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/705-produccion-vegetal,705,PRODUCCIÓN VEGETAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/720-proyectos-de-ingenieria,720,PROYECTOS DE INGENIERÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/735-psicologia-evolutiva-y-de-la-educacion,735,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/740-psicologia-social,740,PSICOLOGÍA SOCIAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/745-psiquiatria,745,PSIQUIATRÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/750-quimica-analitica,750,QUÍMICA ANALÍTICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/755-quimica-fisica,755,QUÍMICA FÍSICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/760-quimica-inorganica,760,QUÍMICA INORGÁNICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/765-quimica-organica,765,QUÍMICA ORGÁNICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/770-radiologia-y-medicina-fisica,770,RADIOLOGÍA Y MEDICINA FÍSICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/773-sanidad-animal,773,SANIDAD ANIMAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/775-sociologia,775,SOCIOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/780-tecnologia-de-los-alimentos,780,TECNOLOGÍA DE LOS ALIMENTOS
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/785-tecnologia-electronica,785,TECNOLOGÍA ELECTRÓNICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/795-teoria-de-la-literatura-y-literatura-comparada,795,TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/800-teoria-de-la-senal-y-comunicaciones,800,TEORÍA DE LA SEÑAL Y COMUNICACIONES
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/805-teoria-e-historia-de-la-educacion,805,TEORÍA E HISTORIA DE LA EDUCACIÓN
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/807-toxicologia,807,TOXICOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/817-urologia,817,UROLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/819-zoologia,819,ZOOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/830-traumatologia-y-ortopedia,830,TRAUMATOLOGÍA Y ORTOPEDIA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/675-periodismo,675,PERIODISMO
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/730-psicologia-basica,730,PSICOLOGÍA BÁSICA
